id:ID,name,type,desc,:LABEL
110,Skip(x=0),,Move in the direction of cp.,Function
111,x,float,delta x,Parameter
112,X(),,Get cp coordinates x.,Function
113,Xy(),,"Get cp coordinates x, y.",Function
114,xya(),,"Get cp coordinates x, y, a.",Function
115,y(),,Get cp coordinates y.,Function
116,nazca.font,,Module to add text to a layout.,Module
117,"Font(fontfile='nazca', box_layer=None, box_buf=None)",,Class to define text object in various fonts.,Class
118,"sample(height=50, layer=1, instantiate=False)",,Return a cell with all characters present in a font.,Function
119,height,float,height of the text in um,Parameter
120,layer,int | string,layer number or name to place text in,Parameter
121,instantiate,bool,"instantiate cell, default False",Parameter
122,"text(text='Text', height=None, strokewidth=None, layer=1, align='lb', box_layer=None, box_buf=None, instantiate=False, cellname=None)",,Output a cell with text of specified dimensions and alignment.,Function
123,text,str,text to display,Parameter
124,height,float,"height of the text in um, default 50",Parameter
125,strokewidth,float,approximate font stroke width in um,Parameter
126,layer,int | string,layer number or name to place text in,Parameter
127,align,str,"relative placement: regex: [lcr][bct], default 'lb'",Parameter
128,box_layer,str | int | tuple,"layer reference to generate a square box behind the text, default None",Parameter
129,box_buf,float,extra buffer for the box_layer in um,Parameter
130,instantiate,bool,"instantiate cell, default False",Parameter
131,cellname,str,"overrule the standard hash text cell naming, default None",Parameter
132,"textheight(text, height=50)",,Return total text height of line(s) in text.,Function
133,text,str,text to calculate the text height,Parameter
134,height,float,"height of the text in um, default 50",Parameter
135,,,A simple way to put text in the layout using default settings.,Example
136,,,Generate a sample of all characters available in the font.,Example
137,,,Output a cell with the text 'Hello world' centered.,Example
138,nazca.gds_cellreplace,,Module for replacing static cells and parametric cells.,Module
139,"replaceCells(gdsin, gdsout=None, PcellFunctionMap=None, ScellMapping=None, md5=False, md5suffix='_md5', suffix='_white', addtime=True, infolevel=0, layermap=None, layermapmode=None)",,Replace black with white cells in a GDS file and export the result.,Function
140,gdsin,unknown,"['str', 'input filename']",Parameter
141,gdsout,unknown,"['str', 'optional output filename']",Parameter
142,PcellFunctionMap,unknown,"['dict', 'black to white dictionary mapping basename to Pcell function']",Parameter
143,ScellMapping,unknown,"['dict', 'mapping of one or more cell libraries from black to white']",Parameter
144,md5,unknown,"['bool', 'save md5sum. Default=False']",Parameter
145,md5suffix,unknown,"['str', ""suffix for md5sum file. Default = '_md5'""]",Parameter
146,suffix,unknown,"['str', ""suffix of the output GDS. Default = '_white'""]",Parameter
147,addtime,unknown,"['bool', 'add time (date) as last suffix. Default = True']",Parameter
148,infolevel,unknown,"['int', 'amount of debug info printed']",Parameter
149,nazca.generic_bend,,Module to generate parametric waveguide curves or 'pcurves' and sine bends.,Module
150,"Curve2polyline(fie, xya, acc, args=())",,Generate a polyline from a parameterized curve.,Function
151,fie,function,the curve function that takes one parameter that runs from 0 to 1 as first argument. The curve starts at the origin at 0 angle,Parameter
152,xya,tuple,"the position (x, y, a",Parameter
153,acc,float,desired accuracy in micrometer,Parameter
154,args,tuple,additional arguments to be passed to the curve function,Parameter
155,Curve_AB(Lp),,Calculate array A and array B for given L.,Function
156,Lp,float,scaled curve-parameter point,Parameter
157,"distance_point2line(P, A, B)",,Calculate the shortest distance of point P to a line through A and B.,Function
158,P,float,"float, (x, y",Parameter
159,A,float,"float, (x, y",Parameter
160,B,float,"float, (x, y",Parameter
161,"gb_coefficients(xya, radius1=0, radius2=0)",,"Calculate coefficients A, B and L.",Function
162,xya,tuple,"(x, y, a",Parameter
163,radius1,float,radius of curvature at start,Parameter
164,radius2,float,radius of curvature at end,Parameter
165,"gb_point(t, A, B, Lp)",,Calculate generic-bend point for parameter t.,Function
166,t,float,"normalized parameter in range [0,1]",Parameter
167,A,list of float,array of six,Parameter
168,B,list of float,array of six,Parameter
169,Lp,float,"scaled curve-parameter point, scales t",Parameter
170,"getCurvature(A, B, Lp)",,Get the local curvature at a given point Lp of the parametrized curve.,Function
171,A,list of float,six coefficients,Parameter
172,B,list of float,six coefficients,Parameter
173,Lp,float,scaled curve-parameter point,Parameter
174,invert_matrix(Lp),,Helper function returning the solution matrix as a function of Lp.,Function
175,Lp,float,scaled curve-parameter point,Parameter
176,max_curvature(L),,Calculate the maximum curvature along L.,Function
177,L,float,scaled curve-parameter size,Parameter
178,"Sinebend_point(t, distance, offset)",,Calculate sine bend point for parameter t. This bend has zero curvature at both ends. It provides an S-shape connection.,Function
179,t,float,"normalized parameter in range [0,1]",Parameter
180,distance,float,scaling factor of x with t,Parameter
181,offset,float,scaling factor of y with t,Parameter
182,nazca.geometries,,"A set of functions to create polygon geometries for shapes such as boxes, tapers, arcs, and frames.",Module
183,"MMI_iopoly(wmmi=10, o=None, wio=None, angle=53)",,"Helper routine which generates one side of an MMI outline polygon, from bottom to top.",Function
184,wmmi,float,width of the MMI,Parameter
185,o,None,unspecified,Parameter
186,wio,None,input/output waveguide width,Parameter
187,angle,float,corner cut angle in degrees,Parameter
188,"MMI_poly(wmmi=10, lmmi=100, wi=None, wo=None, oi=None, oo=None, angle=53)",,Returns an MMI polygon outline with angled corners for reduced reflections.,Function
189,wmmi,float,width of the MMI,Parameter
190,lmmi,float,length of the MMI,Parameter
191,wi,float | list,input waveguide width(s,Parameter
192,wo,float | list,output waveguide width(s,Parameter
193,oi,list,input waveguide offsets from center,Parameter
194,oo,list,output waveguide offsets from center,Parameter
195,angle,float,corner cut angle in degrees,Parameter
196,"arc(radius=5, width=2, angle=180, grow=0, N=20)",,Return arc polygon.,Function
197,radius,float,radius of the arc,Parameter
198,width,float,width of the arc,Parameter
199,angle,float,angle of the arc,Parameter
200,grow,int,growth factor,Parameter
201,N,int,unspecified,Parameter
202,"box(length=10, width=7, grow=0)",,Return box polygon.,Function
203,length,float,length of the box,Parameter
204,width,float,width of the box,Parameter
205,grow,int,growth factor,Parameter
206,"mid_pts(p1, p2, factor=0)",,Return point on the line between p1 and p2.,Function
207,p1,point,starting point,Parameter
208,p2,point,ending point,Parameter
209,factor,float,factor determining the position between points,Parameter
210,"monkey(width=1000, height=1000)",,Return a polygon with the Nazca monkey.,Function
211,width,float,width of the bounding box,Parameter
212,height,float,height of the bounding box,Parameter
213,"parallelogram(length=10, height=5, angle=45, position=1, shift=0,0)",,Return parallelogram polygon.,Function
214,length,float,length of base,Parameter
215,height,float,height of parallelogram,Parameter
216,angle,float,side angle,Parameter
217,position,int,"1-9, position of origin",Parameter
218,shift,point,"(sx, sy",Parameter
219,"parallelogram2(length=10, height=5, angle=45, position=1, shift=0,0)",,Return parallelogram polygon.,Function
220,length,float,length of bounding box of parallelogram,Parameter
221,height,float,height of parallelogram,Parameter
222,angle,float,side angle,Parameter
223,position,int,"1-9, position of origin",Parameter
224,shift,point,"(sx, sy",Parameter
225,"pie(radius=5, angle=310, N=20)",,Return arc polygon.,Function
226,radius,float,radius of the pie,Parameter
227,angle,float,angle of the pie,Parameter
228,N,int,unspecified,Parameter
229,"read_4positions(position=1, pts={}, shift=0,0)",,Return 4 corner points based on position.,Function
230,position,int,position indicator,Parameter
231,pts,dict,unspecified,Parameter
232,shift,point,"(sx, sy",Parameter
233,"rectangle(length=10, height=5, position=1, shift=0,0)",,Return rectangle polygon.,Function
234,length,float,length of the rectangle,Parameter
235,height,float,height of the rectangle,Parameter
236,position,int,"1-9, position of origin",Parameter
237,shift,point,"(sx, sy",Parameter
238,"rhombus(length=10, angle=45, position=1, shift=0,0)",,Return rhombus polygon.,Function
239,length,float,length of the rhombus,Parameter
240,angle,float,angle of the rhombus,Parameter
241,position,int,"1-9, position of origin",Parameter
242,shift,point,"(sx, sy",Parameter
243,"ring(radius=5, width=2, grow=0, N=20)",,Return ring polygon.,Function
244,radius,float,radius of the ring,Parameter
245,width,float,width of the ring,Parameter
246,grow,int,growth factor,Parameter
247,N,int,unspecified,Parameter
248,"rounded_rect(length=10, height=7, position=1, shift=0,0, shrink=0.1, accuracy=0.05)",,Return rectangle polygon with rounded corners.,Function
249,length,float,length of the rectangle,Parameter
250,height,float,height of the rectangle,Parameter
251,position,int,"1-9, position of origin",Parameter
252,shift,point,"(sx, sy",Parameter
253,shrink,float,shrink factor,Parameter
254,accuracy,float,accuracy level,Parameter
255,"square(length=10, position=1, shift=0,0)",,Return square polygon.,Function
256,length,float,length of the square,Parameter
257,position,int,"1-9, position of origin",Parameter
258,shift,point,"(sx, sy",Parameter
259,"taper(length=10, width1=2, width2=8, grow=0)",,Return taper polygon.,Function
260,length,float,length of the taper,Parameter
261,width1,float,starting width of the taper,Parameter
262,width2,float,ending width of the taper,Parameter
263,grow,int,growth factor,Parameter
264,"tetragon(length=5, height=10, dx=4, x=10, position=1, shift=0,0)",,Return tetragon polygon.,Function
265,length,float,length of the tetragon,Parameter
266,height,float,height of the tetragon,Parameter
267,dx,float,delta x coordinate,Parameter
268,x,float,x coordinate,Parameter
269,position,int,"1-9, position of origin",Parameter
270,shift,point,"(sx, sy",Parameter
271,"transform(points, center=0,0,0, scale=1.0, flipx=False, flipy=False, move=0,0,0)",,"Transform a polygon by translation, rotation, scaling and/or flipping.",Function
272,points,list of (float,float,Parameter
273,center,(float,"float, float",Parameter
274,scale,float,scaling factor,Parameter
275,flipx,bool,flip x coordinate,Parameter
276,flipy,bool,flip y coordinate,Parameter
277,move,(float,"float, float",Parameter
278,"trapezoid(length=10, height=4, angle1=45, angle2=45, position=1, shift=0,0)",,Return trapezoid polygon.,Function
279,length,float,length of the trapezoid,Parameter
280,height,float,height of the trapezoid,Parameter
281,angle1,float,first angle of the trapezoid,Parameter
282,angle2,float,second angle of the trapezoid,Parameter
283,position,int,"1-9, position of origin",Parameter
284,shift,point,"(sx, sy",Parameter
285,nazca.icons,,Module to create icons for building blocks from template functions.,Module
286,"Tp_icon_MZI(bufx=None, bufy=None, layer=None, move=0,0,0)",,Template for functions to draw MZI icons.,Function
287,layer,unknown,(layer to draw the icon in),Parameter
288,"Tp_icon_Yjunction(bufx=None, bufy=None, layer=None, move=0,0,0)",,Template for functions to draw Y-junction icons.,Function
289,layer,unknown,(layer to draw the icon in),Parameter
290,"Tp_icon_circ_pad(bufx=None, bufy=None, layer=None, move=0,0,0)",,Template to draw circular pad icons.,Function
291,"TP_icon_diode(layer=None, move=0,0,0)",,Template for functions to draw photo-diode icons.,Function
292,layer,unknown,(layer to draw the icon in),Parameter
293,"Tp_icon_diode_gsg(layer=None, move=0,0,0)",,Template to draw GSG diode icons.,Function
294,layer,unknown,(layer to draw the icon in),Parameter
295,"Tp_icon_directional_coupler(bufx=None, bufy=None, layer1=None, layer2=None, move=0,0,0)",,Template for functions to draw directional coupler icons.,Function
296,layer1,unknown,(layer-1 to draw the icon in),Parameter
297,layer2,unknown,(layer-2 to draw the icon in),Parameter
298,"Tp_icon_grating(layer=None, move=0,0,0)",,Template to grating icons.,Function
299,layer,unknown,(layer to draw the icon in),Parameter
300,"Tp_icon_mir(Nin=2, bufx=None, bufy=None, layer=None, move=0,0,0)",,Template to draw icons for a N-port MIR shape.,Function
301,Nin,int,number of input guides,Parameter
302,Nout,int,number of output guides,Parameter
303,layer,int | tuple,layer to draw icon in,Parameter
304,"TP_icon_mmi(Nin=2, Nout=2, bufx=None, bufy=None, layer=None, move=0,0,0)",,Template to draw icons for a NxM MMI shape.,Function
305,Nin,int,number of input guides,Parameter
306,Nout,int,number of output guides,Parameter
307,layer,int | tuple,layer to draw icon in,Parameter
308,"TP_icon_rounded_pad(bufx=None, bufy=None, layer=None, move=0,0,0)",,Template to draw rounded pad icons.,Function
309,"Tp_icon_sSC(layer=None, move=0,0,0)",,Template to draw spot-size convertor icons.,Function
310,layer,unknown,(layer to draw the icon in),Parameter
311,"Tp_icon_strt(bufx=0, bufy=0, layer=None, move=0,0,0)",,Template to draw straight waveguide icons.,Function
312,"Tp_xsection_transition(layer1=None, layer2=None, move=0,0,0)",,Template to draw waveguide transition icons.,Function
313,"calc_buf(length, width, bufx=None, bufy=None)",,Calculate icon size and buffer between the icon and the BB edge.,Function
314,length,float,bb-length in the x-direction,Parameter
315,width,float,bb-width in the y-direction,Parameter
316,bufx,float,space between the icon and the bb-edge in the x-direction. Default = None,Parameter
317,bufy,float,space between the icon and the bb-edge in the y-direction. Default = None,Parameter
318,"icon_strt(length, width, layer, bufx=None, bufy=None)",,,Function
319,"Xsection_transition(length, width, layer1, layer2, move=0,0,0)",,Create an icon for an xs transition.,Function
320,nazca.interconnects module,,Nazca module for interconnecting guides.,Module
321,"Interconnect(radius=None, width=None, angle=90, xs=None, layer=None, adapt_width=False, adapt_xs=False, instantiate=False, pinstyle=None, offset=None, varname=None, doc='', PCB=False, modes=None)",,Interconnect class for drawing waveguides and metal lines.,Class
322,,,"Create two Interconnect objects, each for a different kind of waveguide.",Example
323,,,Create and place a bend.,Example
324,,,Create and place a bend-straight-bend guide to connect two specific points.,Example
325,,,Create and place a cobra waveguide to connect two specific points.,Example
326,,,Create and place a parabolic taper.,Example
327,,,Rotate to angle 125 degree w.r.t. 'org' after a straight guide of 100 um.,Example
328,,,Create and place a sbend waveguide.,Example
329,,,Create and place a sbend to connect two specific points.,Example
330,,,Create and place a sinebend waveguide.,Example
331,,,Create and place a straight waveguide.,Example
332,,,Create and place a straight-bend-straight guide to connect two specific points.,Example
333,,,Create and place a straight guide between points.,Example
334,,,Create and place a linear taper.,Example
335,,,Create and place a taper to connect two specific points.,Example
336,,,Create and place a ubend to connect two specific points.,Example
337,nazca.logging,,Set up logging to stdout or a file of the output from Nazca. Logging is based on the standard Python logging concepts.,Module
338,"logfile(name='nazca.log', level='INFO', formatter=None, stdout=True, create=False)",,Create a file for logging run output.,Function
339,name,str,filename of the logfile. If the name does not end with '.log' it will be added automatically.,Parameter
340,level,str,minimum log level (case insensitive,Parameter
341,formatter,str,"format string, if None a default formatter will be used",Parameter
342,stdout,bool,set False to switch off a copy of the log to stdout (default=True,Parameter
343,create,bool,create an empty file (usage not clear in provided context,Parameter
344,"newlogfile(name='nazca.log', level='INFO', formatter=None, stdout=True)",,,Function
345,name,str,filename of the logfile. If the name does not end with '.log' it will be added automatically.,Parameter
346,level,str,minimum log level (case insensitive,Parameter
347,formatter,str,"format string, if None a default formatter will be used",Parameter
348,stdout,bool,set False to switch off a copy of the log to stdout (default=True,Parameter
349,nolog2stdout(),,Switch off the logger's stdout stream.,Function
350,"Summary(filename='', plot=True)",,Summarize errors and warnings in the logfile.,Function
351,filename,str,"logfile, default the main logger.",Parameter
352,plot,bool,"show warnings + errors in a bar chart, default=True",Parameter
353,,,Create a file handler with the filename of your Python file and switch off stream handler to standard output (stdout).,Example
354,nazca.lowlevel,,Low-level Nazca routines.,Module
355,GDSII_cell(pos=None),,Class for storing GDS cell content.,Class
356,GDSII_element(records=None),,Class for GDS elements.,Class
357,"GDSII_record(strm, pos=0)",,Class for storing a GDSii record in byte stream format.,Class
358,"GDSII_stream(filename, cellmap=None, layermap=None, layermapmode=None, parse=True)",,"Class to read, modify and write a GDSII stream.",Class
359,"get_cell_annotation(cell, convert=False)",,Yield the cell's annotations one by one.,Function
360,cell,type: str,description: GDS cell name,Parameter
361,convert,type: bool,description: default convert=False,Parameter
362,"get_cell_polygon(cell, convert=False)",,Yield the cell's polygons one by one.,Function
363,cell,type: str,description: GDS cell name,Parameter
364,convert,type: bool,description: convert polygon's values to float (default = False,Parameter
365,"get_cell_polyline(cell, convert=False)",,Yield the cell's polylines one by one.,Function
366,cell,type: str,description: GDS cell name,Parameter
367,convert,type: bool,description: convert polyline's values to float (default = False,Parameter
368,nazca.mask_elements,,This module defines mask elements such as straight and bend waveguides via template functions. Functions in mask_elements work with closures on nested functions.,Module
369,"Tp_arc(radius=10, width=1.0, angle=90, xs=None, layer=None, offset=None, name=None, modes=None)",,Template for creating a parametrized circular arc waveguide function.,Function
370,radius,unknown,"float, radius at the center line of the arc in um.",Parameter
371,width,unknown,"float, width of the arc in um.",Parameter
372,angle,unknown,"float, angle of arc in degree (default=90).",Parameter
373,xs,unknown,"str, xsection of taper",Parameter
374,layer,unknown,"int | str, layer number or layer name",Parameter
375,offset,unknown,"float | function, positive offset reduces radius. The offset can be a function F(width, radius) that returns a float",Parameter
376,modes,unknown,"list, list of integers, containing the labels of netlist modes",Parameter
377,"Tp_arc2(radius=10, width=1.0, angle=90, xs=None, layer=None, offset=None, name=None)",,Template for creating a parametrized angled arc waveguide function composed of straight sections.,Function
378,radius,unknown,"float, radius at the center line of the arc in um.",Parameter
379,width,unknown,"float, width of the arc in um.",Parameter
380,angle,unknown,"float, angle of arc in degree (default=90).",Parameter
381,xs,unknown,"str, xsection of taper",Parameter
382,layer,unknown,"int | str, layer number or layer name",Parameter
383,offset,unknown,"float | function, positive offset reduces radius. The offset can be a function F(width, radius) that returns a float",Parameter
384,"Tp_cobra(xya=(100,100,10), width1=1.0, width2=1.0, radius1=0, radius2=0, offset1=None, offset2=None, xs=None, layer=None, name=None)",,Template for creating a parametrized cobra waveguide function.,Function
385,xya,unknown,"point, point to connect to from (0,0,0)",Parameter
386,width1,unknown,"float, width of waveguide",Parameter
387,width2,unknown,"float, width of waveguide at end",Parameter
388,radius1,unknown,"float, radius at start (0 is no curvature)",Parameter
389,radius2,unknown,"float, radius at end (0 is no curvature)",Parameter
390,offset1,unknown,"float | function, positive offset reduces radius",Parameter
391,offset2,unknown,"float | function, positive offset reduces radius",Parameter
392,xs,unknown,"str, xsection of waveguide",Parameter
393,layer,unknown,"str | tuple | int, layer number or layer name",Parameter
394,"Tp_euler(width1=1.0, width2=1.0, radius=50, angle=90, xs=None, layer=None, name='euler', modes=None)",,Template for creating an Euler bend.,Function
395,width1,unknown,"float, begin width",Parameter
396,width2,unknown,"float, end width",Parameter
397,radius,unknown,"float, end radius for calibration",Parameter
398,angle,unknown,"float, end angle for calibration",Parameter
399,xs,unknown,"str, xsection name",Parameter
400,layer,unknown,"str | tuple | int, mask layer",Parameter
401,name,unknown,"str, element name (default='euler')",Parameter
402,"Tp_ptaper(length=100, width1=1.0, width2=3.0, xs=None, layer=None, name=None, modes=None)",,Template for creating a parametrized parabolic taper function.,Function
403,length,unknown,"float, length of the taper",Parameter
404,width1,unknown,"float, width at start",Parameter
405,width2,unknown,"float, width at end",Parameter
406,xs,unknown,"str, xsection of taper",Parameter
407,layer,unknown,"int | str, layer number or layer name",Parameter
408,"TP_sinecurve(width=1.0, distance=200, offset=20, xs=None, layer=None, name=None)",,Template for creating parametrized sine curve waveguide function.,Function
409,width,unknown,"float, width of the interconnect in um",Parameter
410,xs,unknown,"str, xsection of sinebend",Parameter
411,distance,unknown,"float, total forward length of the sinebend in um",Parameter
412,offset,unknown,"float, lateral offset of the sinebend in um",Parameter
413,layer,unknown,"int | str, layer number or layer name",Parameter
414,"Tp_straight(length=10, width=1.0, xs=None, layer=None, edge1=None, edge2=None, edgepoints=50, name=None, modes=None)",,Template for creating parametrized straight waveguide function.,Function
415,length,unknown,"float, length of waveguide",Parameter
416,width,unknown,"float, width of waveguide",Parameter
417,xs,unknown,"str, xsection of taper",Parameter
418,layer,unknown,"int | str, layer number or layer name",Parameter
419,edge1,unknown,"function, optional function F(t) describing edge 1 of the waveguide",Parameter
420,edge2,unknown,"function, optional function G(t) describing edge 2 of the waveguide",Parameter
421,edgepoints,unknown,"int, number of edge points per edge if the edge is set (default=50)",Parameter
422,modes,unknown,"list, list of integers, containing the labels of netlist modes",Parameter
423,"Tp_taper(length=100, width1=2, width2=3, shift=0, xs=None, layer=None, name=None, modes=None)",,Template for creating a parametrized linear taper function.,Function
424,length,unknown,"float, length of the taper",Parameter
425,width1,unknown,"float, width at start",Parameter
426,width2,unknown,"float, width at end",Parameter
427,shift,unknown,"float, lateral shift at taper end resulting in a skew taper",Parameter
428,xs,unknown,"str, xsection of taper",Parameter
429,layer,unknown,"int | str, layer number or layer name",Parameter
430,"Tp_viper(x, y, w, width1=None, width2=None, xs=None, layer=None, N=200, epsilon=1e-06, name='viper', params={}, angle=None, angleo=None, **kwargs)",,Template for a specific Viper implementation.,Function
431,x,unknown,"function, function in at least t, t in [0,1]",Parameter
